ID,Dominant,Duration,Time,AreaError,TimeTriangles_1,TimeTriangles_2,TimeTriangles_3,TimeTriangles_4,TimeTriangles_5,Distance,PC
48,1,3.5,56.915,973.8399776,7270,35449,10076,5659,2409,5.223206175,1
48,0,3.5,56.46,207.1168821,19816,8845,17073,15915,5820,5.619452705,1
49,1,8.0,37.685,142.0278308,8186,9399,9051,4113,5747,4.227237137,1
49,0,8.0,36.81,145.5556292,11716,6623,2694,6370,10052,4.970931716,1
50,1,3.5,77.035,80.77290726,17136,13719,16437,18120,18076,4.346783579,1
50,0,3.5,71.78,128.5807666,26833,12413,15638,11784,11707,4.255375224,1
5,1,7.0,44.16,179.4118938,10392,9433,7470,7233,12359,5.643828988,1
5,0,7.0,31.11,216.5445163,8362,5376,8045,5547,4797,4.798960283,1
51,1,0.5,38.89,89.71907838,8079,7563,7113,9461,9972,4.158717353,1
51,0,0.5,33.065,163.8318443,7537,8674,6778,5504,6972,4.182069975,1
52,1,1.0,52.84,111.3444858,7200,7934,7954,17751,15120,5.042563623,1
52,0,1.0,60.69,118.8010461,17468,11141,13325,12106,9501,8.533741829,1
53,1,7.0,64.14,99.28350479,9836,10458,9682,21424,21592,4.312387231,1
53,0,7.0,62.29,155.4920905,27063,12743,10315,9003,10329,4.196907778,1
54,1,8.0,24.07,122.874767,6450,3769,3293,5780,4725,4.042773439,1
54,0,8.0,19.97,240.4551517,4027,4029,4578,3772,3654,4.095585453,1
55,1,14.0,92.695,256.0520947,23521,20221,24000,24374,17058,4.477521695,1
55,0,14.0,74.555,146.4775046,22693,9882,7125,19907,21318,4.529574738,1
56,1,0.5,29.71,139.9702775,6331,4310,5046,7418,9403,4.253971182,1
56,0,0.5,27.83,149.8758938,6642,5064,6232,7377,5183,4.243201398,1
57,1,8.0,24.845,298.6427104,5886,4181,3643,5454,8000,4.263634552,1
57,0,8.0,47.855,215.0304035,11713,9350,7798,10951,9344,4.371196342,1
58,1,5.5,125.62,95.77297942,30223,22640,20957,29978,35681,4.400452624,1
58,0,5.5,70.54,95.49876402,18901,15956,13169,14616,12432,4.368319928,1
6,1,1.0,17.535,228.6136492,3693,2626,6123,3219,3512,5.483522605,1
6,0,1.0,14.665,349.733405,3915,3375,3266,2126,2057,4.455849911,1
7,1,0.5,33.665,174.7438372,8515,9244,6954,6529,4673,5.301679101,1
7,0,0.5,26.34,217.2816088,8301,4281,4711,5015,6466,4.846281596,1
8,1,1.5,37.375,133.8826068,10216,5705,6207,4387,9565,5.260196656,1
8,0,1.5,36.16,173.6706193,6453,9360,5342,4174,11782,5.267526865,1
9,1,7.0,33.41,125.7014643,10191,9231,2719,6875,7719,5.839281776,1
9,0,7.0,24.75,204.2586798,8180,5376,3889,3849,4531,4.802903741,1
